"ProjectID","Path","Exists","Documents","Expected","Actual","Safe"
"427739","Engenharia\Ecovias Araguaia\Projetos\Dispositivo 9°Ano\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Dispositivo ano 9-0000001","True","1","GRD-COM-ECA-Dispositivo ano 9-0000001.xlsx","GRD-COM-ECA-Dispositivo ano 9-0000001.xlsx","True"
"427741","Engenharia\Ecovias Araguaia\Projetos\Ampliações 6°Ano SH 16 e 17\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 6°Ano SH 16 e 17-0000001","True","1","GRD-COM-ECA-Ampliações 6°Ano SH 16 e 17-0000001.xlsx","GRD-COM-ECA-Ampliações 6°Ano SH 16 e 17-0000001.xlsx","True"
"427743","Engenharia\Ecovias Araguaia\Projetos\Ampliações 6°Ano SH 23\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 6°Ano SH 23-0000001","True","1","GRD-COM-ECA-Ampliações 6°Ano SH 23-0000001.xlsx","GRD-COM-ECA-Ampliações 6°Ano SH 23-0000001.xlsx","True"
"427745","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 14\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 14-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 14-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 14-0000001.xlsx","True"
"427747","Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 321+900\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 3°Ano 321+900-0000001","True","1","GRD-COM-ECA-Acesso 3°Ano 321+900-0000001.xlsx","GRD-COM-ECA-Acesso 3°Ano 321+900-0000001.xlsx","True"
"427749","Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 355+900\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 3°Ano 355+900-0000001","True","1","GRD-COM-ECA-Acesso 3°Ano 355+900-0000001.xlsx","GRD-COM-ECA-Acesso 3°Ano 355+900-0000001.xlsx","True"
"427751","Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 375+800\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 3°Ano 375+800-0000001","True","1","GRD-COM-ECA-Acesso 3°Ano 375+800-0000001.xlsx","GRD-COM-ECA-Acesso 3°Ano 375+800-0000001.xlsx","True"
"427753","Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 397+050\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 3°Ano 397+050-0000001","True","1","GRD-COM-ECA-Acesso 3°Ano 397+050-0000001.xlsx","GRD-COM-ECA-Acesso 3°Ano 397+050-0000001.xlsx","True"
"427755","Engenharia\Ecovias Araguaia\Projetos\Acesso 4°Ano 274+950\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 4°Ano 274+950-0000001","True","1","GRD-COM-ECA-Acesso 4°Ano 274+950-0000001.xlsx","GRD-COM-ECA-Acesso 4°Ano 274+950-0000001.xlsx","True"
"427757","Engenharia\Ecovias Araguaia\Projetos\Acesso 4°Ano 303+820\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 4°Ano 303+820-0000001","True","1","GRD-COM-ECA-Acesso 4°Ano 303+820-0000001.xlsx","GRD-COM-ECA-Acesso 4°Ano 303+820-0000001.xlsx","True"
