"Projeto","Pasta","Grupo","TipoSeguranca","Permissoes","Status","Detalhe"
"01.01.02 - Duplicação - Cotia-Embu","01.01.02 - Duplicação - Cotia-Embu","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.02.01 - BSO 1 - km 39,5 - SP-280 - Leste","02.02.02.01 - BSO 1 - km 39,5 - SP-280 - Leste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.02.02 - BSO 2 - km 17,000 - SP-270 - Oeste","02.02.02.02 - BSO 2 - km 17,000 - SP-270 - Oeste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.02.03 - BSO 3 - km 27,3 - SP-270 - Leste","02.02.02.03 - BSO 3 - km 27,3 - SP-270 - Leste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.02.04 - BSO 4 - km 27,8 - SP-280 - Leste","02.02.02.04 - BSO 4 - km 27,8 - SP-280 - Leste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.02.05 - BSO 5 - (Localização á definir) - SP-280","02.02.02.05 - BSO 5 - (Localização á definir) - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.03 - PPD 1 - km 20 - SP-280 - Leste","02.02.03 - PPD 1 - km 20 - SP-280 - Leste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.03 - PPD 2 - km 33 - SP-280 - Oeste","02.02.03 - PPD 2 - km 33 - SP-280 - Oeste","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.02.04 - PMRV - Araçariguama - SP-280","02.02.04 - PMRV - Araçariguama - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.05.19 - Dispositivo de Conexão - BR-116","02.05.19 - Dispositivo de Conexão - BR-116","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.05.22 - Alça - km 22,20 - SP-280","02.05.22 - Alça - km 22,20 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.05.23 - Diamante - km 36,00 SP-280","02.05.23 - Diamante - km 36,00 SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.05.24 - Trombeta - km 46,62 - SP-280","02.05.24 - Trombeta - km 46,62 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.05.26 - Alça - km 22,80 - SP-280","02.05.26 - Alça - km 22,80 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.06.11-  Marginal Decrescente - km 30,74 +31,23 - SP-280","02.06.11-  Marginal Decrescente - km 30,74 +31,23 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.09.19 - Pontos de Ônibus Cotia-Embu - km 0 + 16,5","02.09.19 - Pontos de Ônibus Cotia-Embu - km 0 + 16,5","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.10.19 - Acesso Cotia-Embu - km 0 + 16,5","02.10.19 - Acesso Cotia-Embu - km 0 + 16,5","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.11.01.15 - OAE - km 22,2 - SP-280","02.11.01.15 - OAE - km 22,2 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.11.01.17 - OAE - km 22,2 - SP-280","02.11.01.17 - OAE - km 22,2 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"02.11.01.31 - OAE - Cotia-Embu - km 0","02.11.01.31 - OAE - Cotia-Embu - km 0","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"03.11 - HS-WIM 1 - km 20 - SP-280","03.11 - HS-WIM 1 - km 20 - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"03.11 - HS-WIM 2 - (Localização á definir) - SP-280","03.11 - HS-WIM 2 - (Localização á definir) - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"03.11 - HS-WIM 3 - (Localização á definir) - SP-280","03.11 - HS-WIM 3 - (Localização á definir) - SP-280","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
"Projeto Conceitual - Raposo Tavares/ Nova Ligação Embu","Projeto Conceitual - Raposo Tavares/ Nova Ligação Embu","Engenharia GPR","Folder","r","SIMULADO","FolderSecurity seria aplicado"
