2026-06-11 14:14:00 | INFO | Inicio da validacao de login.
2026-06-11 14:14:00 | INFO | Modulo 'pwps_dab' importado. Versao=0.0 24.0.2 | Caminho=C:\Program Files\WindowsPowerShell\Modules\pwps_dab\24.0.2\pwps_dab.ps1 C:\Program Files\WindowsPowerShell\Modules\pwps_dab\24.0.2\pwps_dab.dll
2026-06-11 14:14:00 | INFO | Tentando conexao via 'New-PWLogin'. Parametros: DatasourceName, UserName, Password, UseGui, DoNotCreateWorkingDirectory, BentleyIMS, LoadWRE, NonAdminLogin, Token, Verbose, Debug, ErrorAction, WarningAction, InformationAction, ErrorVariable, WarningVariable, InformationVariable, OutVariable, OutBuffer, PipelineVariable
2026-06-11 14:14:11 | OK | Conexao realizada via 'New-PWLogin -BentleyIMS'.
2026-06-11 14:14:11 | OK | Datasource conectado: 01SSRV305.ECSC.ECORODOVIAS.CORP:Ecorodovias-01
2026-06-11 14:14:11 | OK | Usuario atual: Peterson Caputti
2026-06-11 14:14:11 | OK | Validacao de login concluida com sucesso.
2026-06-11 14:14:13 | OK | Group validado por nome exato: Gestão - ECS
2026-06-11 14:14:17 | OK | Pasta Engenharia localizada: Engenharia
2026-06-11 14:14:17 | INFO | Listando filhos: Engenharia
2026-06-11 14:14:28 | OK | Concessao selecionada: Ecovias Rio Minas
2026-06-11 14:14:41 | INFO | Get-PWFolderSecurity retornou 132 item(ns).
2026-06-11 14:14:42 | WARN | Group 'Gestão - ECS' ja encontrado na seguranca da concessao 'Ecovias Rio Minas'. Ocorrencias=130
2026-06-11 14:14:42 | INFO | Carregando projetos da concessao 'Ecovias Rio Minas'.
2026-06-11 14:14:42 | INFO | Listando filhos: Ecovias Rio Minas
2026-06-11 14:14:42 | INFO | Listando filhos: Ecovias Rio Minas/Projetos
2026-06-11 14:16:09 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:16:31 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:17:01 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:17:36 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:17:55 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:18:14 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:18:31 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:18:48 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:19:06 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:19:23 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:19:41 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:20:00 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:20:20 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:20:37 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:20:55 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:21:12 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:21:31 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:21:50 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:22:08 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:22:31 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:23:04 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:23:49 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:24:17 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:24:48 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:25:22 | INFO | Get-PWFolderSecurity retornou 144 item(ns).
2026-06-11 14:25:27 | OK | Sessao ProjectWise encerrada via 'Undo-PWLogin'.
