"Concessao";"Projeto";"CaminhoProjeto";"ConnectedProjectId";"Usuario";"Perfil";"Status";"Mensagem"
"Ecovias Araguaia";"Acesso 3° Ano - km 321+900 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 321+900";"0f10d4a0-17c4-4ab7-8c46-102982815fbd";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 3° Ano - km 355+900 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 355+900";"36db6d1c-077b-4e07-9c06-0341a7d6edcc";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 3° Ano - km 375+800 - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 375+800";"e7dd53be-8204-4836-bbcb-e7dca6a347cd";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 3° Ano - km 397+050 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 3°Ano 397+050";"76149810-45e0-4d44-8be1-d97fe0ba5dfb";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 4° Ano - km 274+950 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 4°Ano 274+950";"e05b8863-0b4b-48ad-bd4f-6eb762dbd633";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 4° Ano - km 303+820 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 4°Ano 303+820";"e1391c2b-745d-44b1-a952-699e623a93c1";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 5° Ano - km 188+210 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 5°Ano 188+210";"1e3291bf-199c-4703-bc44-b9aabc5e173e";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 5° Ano - km 188+550 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 5°Ano 188+550";"e1b19953-5c29-4c32-8c33-18e12bbcb979";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 5° Ano - km 265+320 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 5°Ano 265+320";"1ee39910-0021-40e1-bf69-1064e9bec49b";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 6° Ano - km 158+630 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 6°Ano 158+630";"7c76c1f3-5f65-4a30-92bd-21aef293251d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 6° Ano - km 693+000 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 6°Ano 693+000";"62ed2dbe-18fc-47dd-8255-aea523ef2b62";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
